000000001268.jpg,cell phone,8,529,181,30,19
000000009769.jpg,fire hydrant,2,552,259,12,21
000000011197.jpg,bicycle,1,554,162,48,29
000000013546.jpg,skateboard,3,510,209,40,50
000000016439.jpg,wine glass,2,412,262,43,91
000000018150.jpg,bottle,1,275,230,34,57
000000018380.jpg,vase,40,514,88,11,30
000000019042.jpg,bird,1,308,165,21,40
000000061108.jpg,dog,1,137,179,114,137
000000061268.jpg,person,2,54,276,25,57
000000063602.jpg,cup,2,415,228,37,68
000000067616.jpg,fire hydrant,3,218,393,29,66
000000097994.jpg,mouse,6,442,327,32,28
000000104669.jpg,knife,3,1,163,75,212
000000119445.jpg,baseball glove,5,420,280,33,33
000000119516.jpg,bicycle,1,422,240,26,41
000000120572.jpg,bench,1,469,266,41,16
000000122606.jpg,person,2,372,157,46,51
000000125245.jpg,broccoli,1,146,104,122,141
000000142238.jpg,sports ball,1,360,116,16,17
000000179653.jpg,clock,1,207,162,93,93
000000186422.jpg,bird,1,499,276,64,72
000000203864.jpg,sports ball,5,112,156,13,10
000000209530.jpg,tv,14,153,42,53,42
000000221872.jpg,fork,4,554,2,79,424
000000222299.jpg,cell phone,4,409,155,42,24
000000224222.jpg,surfboard,4,230,164,74,31
000000226417.jpg,fire hydrant,18,430,210,16,25
000000281409.jpg,baseball glove,16,233,330,38,40
000000331817.jpg,fork,4,296,180,37,45
000000378116.jpg,surfboard,2,448,250,59,49
000000481390.jpg,sports ball,19,330,290,21,22
000000484351.jpg,spoon,6,152,328,32,27
000000489046.jpg,bird,1,400,169,86,140
000000491008.jpg,potted plant,22,35,188,48,58
000000507473.jpg,toothbrush,1,291,148,61,43
000000509258.jpg,bench,1,111,336,32,27
000000572900.jpg,frisbee,4,345,200,43,20
000000577932.jpg,traffic light,12,82,141,28,41
000000579635.jpg,surfboard,3,463,304,34,12
000000009590.jpg,bottle,1,427,228,24,49
000000014038.jpg,microwave,23,160,286,74,39
000000123633.jpg,scissors,12,251,386,66,66
000000156278.jpg,clock,1,438,42,45,45
000000156278.jpg,book,25,62,232,19,41
000000171190.jpg,knife,35,257,322,46,9
000000255165.jpg,cup,2,421,374,40,42
000000311002.jpg,sports ball,5,274,87,8,9
000000322163.jpg,remote,10,537,351,65,29
000000326082.jpg,remote,10,211,287,20,5
000000361586.jpg,backpack,2,569,161,40,53
000000367095.jpg,scissors,16,432,263,20,29
000000441586.jpg,stop sign,9,525,74,24,23
000000447169.jpg,clock,2,533,192,30,24
000000529148.jpg,mouse,6,253,330,62,42
000000545100.jpg,cell phone,1,431,135,22,36
000000546964.jpg,tie,20,615,104,12,26
